commande_id	client_fk	type	adresse_fk	date_creation	statut
1	118	sur_place		15.01.2025 16:11	livrée
2	193	emporter		15.01.2025 17:03	livrée
3	75	sur_place		15.01.2025 18:53	livrée
4	213	emporter		15.01.2025 22:00	livrée
5	204	sur_place		15.01.2025 22:09	livrée
6	110	emporter		15.01.2025 23:17	livrée
7	24	livraison	28	16.01.2025 01:22	annulée
8	157	livraison	194	16.01.2025 05:14	livrée
9	36	emporter		16.01.2025 13:18	livrée
10	153	emporter		16.01.2025 15:37	livrée
11	16	livraison	20	16.01.2025 17:35	livrée
12	217	emporter		16.01.2025 18:21	livrée
13	43	sur_place		16.01.2025 21:00	livrée
14	15	sur_place		16.01.2025 21:30	livrée
15	108	emporter		16.01.2025 22:57	livrée
16	73	livraison	94	16.01.2025 23:54	livrée
17	7	emporter		17.01.2025 01:05	livrée
18	61	sur_place		17.01.2025 01:20	livrée
19	112	livraison	141	17.01.2025 05:50	livrée
20	219	emporter		17.01.2025 12:34	livrée
21	210	livraison	259	17.01.2025 14:36	annulée
22	51	livraison	64	17.01.2025 15:03	livrée
23	48	emporter		17.01.2025 17:14	livrée
24	92	sur_place		18.01.2025 01:27	livrée
25	41	emporter		18.01.2025 01:33	livrée
26	180	sur_place		18.01.2025 04:22	livrée
27	206	livraison	255	18.01.2025 11:53	livrée
28	144	livraison	181	18.01.2025 12:42	livrée
29	208	livraison	257	18.01.2025 17:15	livrée
30	43	livraison	55	18.01.2025 19:34	livrée
31	42	livraison	53	19.01.2025 00:38	livrée
32	25	emporter		19.01.2025 01:10	livrée
33	170	emporter		19.01.2025 01:37	livrée
34	139	sur_place		19.01.2025 03:34	livrée
35	45	livraison	57	19.01.2025 04:37	livrée
36	108	emporter		19.01.2025 04:38	livrée
37	102	livraison	130	19.01.2025 06:22	livrée
38	166	emporter		19.01.2025 08:55	livrée
39	130	sur_place		19.01.2025 10:34	livrée
40	62	sur_place		19.01.2025 11:19	livrée
41	57	livraison	72	19.01.2025 11:20	livrée
42	182	livraison	222	19.01.2025 13:40	livrée
43	17	emporter		19.01.2025 13:44	livrée
44	147	livraison	184	19.01.2025 14:00	livrée
45	186	livraison	228	19.01.2025 14:50	livrée
46	175	sur_place		19.01.2025 15:01	livrée
47	46	emporter		19.01.2025 16:42	livrée
48	96	livraison	121	19.01.2025 19:24	livrée
49	77	livraison	98	19.01.2025 21:37	livrée
