ligne_id	commande_fk	article_fk	quantite	prix_unitaire	parent_ligne_fk
1	1	2	1	18	
2	1	3	1	20	
3	1	25	1	5	
4	1	30	1	5	
5	2	2	1	18	
6	2	4	1	18	
7	2	1	1	14	
8	2	25	1	5	
9	3	2	1	18	
10	3	8	1	20.5	
11	3	28	1	6	
12	4	5	1	17	
13	4	6	1	19	
14	4	4	1	18	
15	5	5	1	17	
16	5	3	1	20	
17	5	7	1	19.5	
18	5	24	1	4	
19	5	21	1	3	
20	5	28	1	6	
21	6	3	1	20	
22	6	7	1	19.5	
23	6	23	1	4.5	
24	7	4	1	18	
25	7	5	1	17	
26	7	6	1	19	
27	7	22	1	4	
28	8	3	1	20	
29	8	21	1	3	
30	8	22	1	4	
31	9	5	1	17	
32	9	7	1	19.5	
33	9	22	1	4	
34	10	6	1	19	
35	10	2	1	18	
36	10	21	1	3	
37	10	27	1	6	
38	11	7	1	19.5	
39	11	4	2	18	
40	11	26	1	4.5	
41	12	1	1	14	
42	12	3	2	20	
43	12	23	1	4.5	
44	13	2	1	18	
45	13	25	1	5	
46	14	2	1	18	
47	14	5	1	17	
48	14	6	1	19	
49	14	21	1	3	
50	15	2	1	18	
51	15	21	1	3	
52	16	6	1	19	
53	16	2	1	18	
54	17	6	2	19	
55	18	5	2	17	
56	18	1	1	14	
57	18	26	1	4.5	
58	19	7	1	19.5	
59	19	6	2	19	
60	19	23	1	4.5	
61	20	1	1	14	
62	20	23	1	4.5	
63	21	4	1	18	
64	21	1	2	14	
65	21	26	1	4.5	
66	22	6	2	19	
67	22	1	2	14	
68	23	4	1	18	
69	23	6	1	19	
70	23	25	1	5	
71	23	27	1	6	
72	24	6	1	19	
73	24	4	1	18	
74	24	25	1	5	
75	25	1	1	14	
76	25	7	2	19.5	
77	26	8	1	20.5	
78	26	5	2	17	
79	26	25	1	5	
80	26	22	1	4	
81	27	3	2	20	
82	27	7	1	19.5	
83	27	22	1	4	
84	28	3	1	20	
85	28	4	2	18	
86	29	3	1	20	
87	29	8	1	20.5	
88	29	21	1	3	
89	29	23	1	4.5	
90	29	27	1	6	
91	30	2	1	18	
92	30	7	1	19.5	
93	30	21	1	3	
94	30	23	1	4.5	
95	30	29	1	5.5	
96	31	8	2	20.5	
97	31	6	2	19	
98	31	22	1	4	
99	31	22	1	4	
100	32	6	1	19	
101	32	1	2	14	
102	33	7	2	19.5	
103	33	3	1	20	
104	34	7	1	19.5	
105	34	8	1	20.5	
106	34	5	1	17	
107	34	26	1	4.5	
108	34	28	1	6	
109	35	1	1	14	
110	35	4	1	18	
111	35	8	1	20.5	
112	35	23	1	4.5	
113	36	2	1	18	
114	36	1	1	14	
115	36	24	1	4	
116	36	22	1	4	
117	37	5	2	17	
118	37	3	1	20	
119	37	22	1	4	
120	38	8	1	20.5	
121	39	3	1	20	
122	39	2	2	18	
123	39	25	1	5	
124	40	6	2	19	
125	40	3	1	20	
126	40	22	1	4	
127	41	1	1	14	
128	41	7	2	19.5	
129	42	5	1	17	
130	42	2	1	18	
131	42	23	1	4.5	
132	43	5	1	17	
133	43	2	1	18	
134	43	7	2	19.5	
135	43	24	1	4	
136	44	8	1	20.5	
137	44	26	1	4.5	
138	45	6	2	19	
139	45	8	1	20.5	
140	45	21	1	3	
141	45	26	1	4.5	
142	46	3	1	20	
143	46	2	1	18	
144	46	22	1	4	
145	47	3	1	20	
146	47	5	2	17	
147	47	2	1	18	
148	48	1	1	14	
149	48	23	1	4.5	
150	49	7	1	19.5	
151	49	6	2	19	
152	49	28	1	6	
153	50	5	1	17	
154	50	7	2	19.5	
155	50	24	1	4	
156	50	24	1	4	
157	50	29	1	5.5	
158	51	5	1	17	
159	51	8	1	20.5	
160	51	7	1	19.5	
161	51	23	1	4.5	
162	51	25	1	5	
163	52	2	1	18	
164	52	1	2	14	
165	52	5	1	17	
166	52	23	1	4.5	
167	53	1	1	14	
168	53	8	2	20.5	
169	53	29	1	5.5	
170	54	3	2	20	
171	54	22	1	4	
172	54	30	1	5	
173	55	3	1	20	
174	56	6	1	19	
175	56	5	2	17	
176	56	26	1	4.5	
177	57	8	1	20.5	
178	57	3	2	20	
179	57	25	1	5	
180	58	1	2	14	
181	58	7	1	19.5	
182	59	2	2	18	
183	59	26	1	4.5	
184	60	4	2	18	
185	60	2	1	18	
186	60	24	1	4	
187	60	27	1	6	
188	61	1	1	14	
189	61	5	1	17	
190	61	28	1	6	
191	62	7	1	19.5	
192	62	5	1	17	
193	63	4	1	18	
194	63	26	1	4.5	
195	63	28	1	6	
196	64	7	1	19.5	
197	64	6	1	19	
198	65	1	1	14	
199	65	6	1	19	
200	65	3	1	20	
201	65	26	1	4.5	
202	65	25	1	5	
203	66	1	2	14	
204	67	2	1	18	
205	67	8	2	20.5	
206	67	23	1	4.5	
207	67	30	1	5	
208	68	5	1	17	
209	68	23	1	4.5	
210	69	6	1	19	
211	69	24	1	4	
212	69	28	1	6	
213	70	5	1	17	
214	70	1	1	14	
215	70	8	1	20.5	
216	71	2	1	18	
217	72	2	1	18	
218	72	5	1	17	
219	72	24	1	4	
220	73	6	2	19	
221	73	5	1	17	
