livraison_id	commande_fk	livreur_fk	statut	date_depart	date_arrivee
7	7	5	annulee	16.01.2025 01:31	16.01.2025 01:37
8	8	4	livree	16.01.2025 05:36	16.01.2025 05:49
11	11	6	livree	16.01.2025 17:47	16.01.2025 17:59
16	16	1	livree	17.01.2025 00:11	17.01.2025 00:21
19	19	3	livree	17.01.2025 06:06	17.01.2025 06:21
21	21	1	annulee	17.01.2025 14:49	17.01.2025 14:55
22	22	3	livree	17.01.2025 15:26	17.01.2025 15:36
27	27	3	livree	18.01.2025 12:18	18.01.2025 12:36
28	28	5	livree	18.01.2025 12:53	18.01.2025 13:03
29	29	4	livree	18.01.2025 17:26	18.01.2025 17:40
30	30	2	livree	18.01.2025 19:46	18.01.2025 19:59
31	31	3	livree	19.01.2025 00:56	19.01.2025 01:14
35	35	5	livree	19.01.2025 04:47	19.01.2025 05:04
37	37	6	livree	19.01.2025 06:42	19.01.2025 06:54
41	41	3	livree	19.01.2025 11:38	19.01.2025 11:55
42	42	6	livree	19.01.2025 13:59	19.01.2025 14:11
44	44	2	livree	19.01.2025 14:13	19.01.2025 14:28
45	45	2	livree	19.01.2025 15:02	19.01.2025 15:17
48	48	1	livree	19.01.2025 19:43	19.01.2025 19:53
49	49	6	livree	19.01.2025 21:51	19.01.2025 22:02
51	51	5	annulee	20.01.2025 00:06	20.01.2025 00:11
52	52	3	livree	20.01.2025 02:21	20.01.2025 02:29
55	55	6	livree	20.01.2025 06:13	20.01.2025 06:21
56	56	6	livree	20.01.2025 09:43	20.01.2025 09:51
57	57	1	livree	20.01.2025 10:30	20.01.2025 10:43
58	58	4	livree	20.01.2025 11:31	20.01.2025 11:42
59	59	1	livree	20.01.2025 13:09	20.01.2025 13:18
62	62	6	livree	20.01.2025 16:00	20.01.2025 16:17
64	64	6	livree	20.01.2025 18:39	20.01.2025 18:47
65	65	1	livree	21.01.2025 00:00	21.01.2025 00:18
68	68	2	livree	21.01.2025 01:17	21.01.2025 01:33
71	71	2	livree	21.01.2025 04:31	21.01.2025 04:49
74	74	5	livree	22.01.2025 01:01	22.01.2025 01:18
75	75	1	livree	22.01.2025 01:53	22.01.2025 02:04
81	81	6	livree	22.01.2025 06:38	22.01.2025 06:46
82	82	2	livree	22.01.2025 07:51	22.01.2025 08:07
84	84	6	annulee	22.01.2025 11:09	22.01.2025 11:23
85	85	5	livree	22.01.2025 13:12	22.01.2025 13:28
