paiement_id	commande_fk	mode	montant	date_paiement
1	1	twint	48	15.01.2025 16:11
2	2	twint	63.5	15.01.2025 17:03
3	3	twint	44.5	15.01.2025 18:53
4	4	carte	62.5	15.01.2025 22:00
5	5	carte	69.5	15.01.2025 22:09
6	6	carte	49	15.01.2025 23:17
7	7	cash	32.5	16.01.2025 01:22
8	8	carte	27	16.01.2025 05:14
9	9	twint	49.5	16.01.2025 13:18
10	10	twint	46	16.01.2025 15:37
11	11	carte	64.5	16.01.2025 17:35
12	12	carte	62	16.01.2025 18:21
13	13	carte	27.5	16.01.2025 21:00
14	14	cash	61.5	16.01.2025 21:30
15	15	twint	23	16.01.2025 22:57
16	16	carte	41	16.01.2025 23:54
17	17	twint	38	17.01.2025 01:05
18	18	twint	59	17.01.2025 01:20
19	19	carte	69	17.01.2025 05:50
20	20	twint	18.5	17.01.2025 12:34
21	21	carte	0	17.01.2025 14:36
22	22	twint	66	17.01.2025 15:03
23	23	cash	52	17.01.2025 17:14
24	24	carte	45	18.01.2025 01:27
25	25	cash	58	18.01.2025 01:33
26	26	twint	66.5	18.01.2025 04:22
27	27	carte	68.5	18.01.2025 11:53
28	28	carte	56	18.01.2025 12:42
29	29	carte	62.5	18.01.2025 17:15
30	30	cash	50.5	18.01.2025 19:34
31	31	carte	87	19.01.2025 00:38
32	32	carte	56	19.01.2025 01:10
33	33	twint	65	19.01.2025 01:37
34	34	twint	67.5	19.01.2025 03:34
35	35	carte	59.5	19.01.2025 04:37
36	36	carte	50	19.01.2025 04:38
37	37	carte	63.5	19.01.2025 06:22
38	38	twint	20.5	19.01.2025 08:55
39	39	cash	69.5	19.01.2025 10:34
40	40	carte	62	19.01.2025 11:19
41	41	twint	53	19.01.2025 11:20
42	42	carte	42.5	19.01.2025 13:40
43	43	twint	84	19.01.2025 13:44
44	44	twint	25	19.01.2025 14:00
45	45	cash	71	19.01.2025 14:50
46	46	carte	42	19.01.2025 15:01
47	47	twint	72	19.01.2025 16:42
48	48	twint	18.5	19.01.2025 19:24
49	49	carte	69	19.01.2025 21:37
50	50	carte	71.5	19.01.2025 23:25
51	51	carte	0	19.01.2025 23:56
52	52	twint	69.5	20.01.2025 02:06
53	53	twint	65.5	20.01.2025 04:44
54	54	cash	49	20.01.2025 04:48
55	55	twint	20	20.01.2025 05:53
56	56	twint	57.5	20.01.2025 09:32
57	57	cash	70	20.01.2025 10:06
58	58	carte	49.5	20.01.2025 11:20
59	59	twint	40.5	20.01.2025 12:48
60	60	carte	64	20.01.2025 14:26
61	61	carte	37	20.01.2025 15:08
62	62	twint	36.5	20.01.2025 15:37
63	63	carte	28.5	20.01.2025 18:25
64	64	twint	38.5	20.01.2025 18:25
65	65	carte	62.5	20.01.2025 23:41
66	66	carte	32.5	20.01.2025 23:46
67	67	carte	73	21.01.2025 00:05
68	68	cash	21.5	21.01.2025 01:05
69	69	cash	33	21.01.2025 02:13
70	70	carte	58	21.01.2025 03:15
71	71	carte	18	21.01.2025 04:19
72	72	carte	39	21.01.2025 21:22
73	73	carte	65	21.01.2025 23:03
74	74	twint	42	22.01.2025 00:51
75	75	twint	25	22.01.2025 01:35
76	76	carte	27	22.01.2025 02:04
77	77	cash	26	22.01.2025 03:37
78	78	cash	57.5	22.01.2025 04:45
79	79	carte	14	22.01.2025 05:09
80	80	cash	39	22.01.2025 06:03
81	81	cash	63	22.01.2025 06:27
82	82	carte	44.5	22.01.2025 07:41
83	83	twint	68	22.01.2025 08:03
84	84	carte	0	22.01.2025 10:59
85	85	carte	47.5	22.01.2025 13:01
86	86	cash	31	22.01.2025 18:37
87	87	carte	65	22.01.2025 22:35
88	88	carte	46.5	22.01.2025 22:40
89	89	carte	20	22.01.2025 22:44
90	90	carte	20	23.01.2025 05:34
91	91	carte	62.5	23.01.2025 08:16
92	92	carte	75	23.01.2025 10:29
93	93	cash	47.5	23.01.2025 12:47
94	94	carte	20.5	23.01.2025 13:24
95	95	twint	64	23.01.2025 13:48
96	96	carte	32	23.01.2025 13:51
97	97	cash	18	23.01.2025 16:29
98	98	twint	47.5	23.01.2025 16:34
99	99	cash	68	23.01.2025 18:40
100	100	carte	79.5	23.01.2025 20:00
101	101	twint	62.5	23.01.2025 20:49
102	102	carte	42	23.01.2025 22:15
103	103	carte	59.5	24.01.2025 01:57
104	104	twint	92	24.01.2025 03:57
105	105	twint	0	24.01.2025 04:37
106	106	carte	47.5	24.01.2025 08:15
107	107	carte	63.5	24.01.2025 09:54
108	108	twint	50.5	24.01.2025 11:24
109	109	twint	53.5	24.01.2025 11:25
110	110	twint	44	24.01.2025 12:09
111	111	cash	64.5	24.01.2025 12:49
112	112	twint	46.5	24.01.2025 12:59
113	113	twint	45.5	24.01.2025 13:19
114	114	carte	49	24.01.2025 22:20
115	115	carte	65.5	24.01.2025 22:49
116	116	carte	69.5	25.01.2025 00:36
117	117	twint	47.5	25.01.2025 00:53
118	118	carte	20	25.01.2025 03:47
